ColumnHeader,Depth,Crop,Irrigation,Block
VW_Avg(1),D7,Pasture,OnePerWeek,B1
VW_Avg(2),D23,Pasture,OnePerWeek,B1
VW_Avg(3),D7,Pasture,None,B1
VW_Avg(4),D23,Pasture,None,B1
VW_Avg(5),D7,Lucerne,None,B1
VW_Avg(6),D23,Lucerne,None,B1
VW_Avg(7),D7,Lucerne,ThreeWeekly,B1
VW_Avg(8),D23,Lucerne,ThreeWeekly,B1
VW_Avg(9),D7,Pasture,ThreeWeekly,B1
VW_Avg(10),D23,Pasture,ThreeWeekly,B1
VW_Avg(11),D7,Lucerne,OnePerWeek,B1
VW_Avg(12),D23,Lucerne,OnePerWeek,B1
VW_Avg(13),D7,Lucerne,TwoPerWeek,B1
VW_Avg(14),D23,Lucerne,TwoPerWeek,B1
VW_Avg(15),D7,Pasture,TwoPerWeek,B1
VW_Avg(16),D23,Pasture,TwoPerWeek,B1
VW_Avg(17),D7,Pasture,TwoPerWeek,B2
VW_Avg(18),D23,Pasture,TwoPerWeek,B2
VW_Avg(19),D7,Pasture,None,B2
VW_Avg(20),D23,Pasture,None,B2
VW_Avg(21),D7,Lucerne,ThreeWeekly,B2
VW_Avg(22),D23,Lucerne,ThreeWeekly,B2
VW_Avg(23),D7,Pasture,ThreeWeekly,B2
VW_Avg(24),D23,Pasture,ThreeWeekly,B2
VW_Avg(25),D7,Lucerne,None,B2
VW_Avg(26),D23,Lucerne,None,B2
VW_Avg(27),D7,Lucerne,OnePerWeek,B2
VW_Avg(28),D23,Lucerne,OnePerWeek,B2
VW_Avg(29),D7,Lucerne,TwoPerWeek,B2
VW_Avg(30),D23,Lucerne,TwoPerWeek,B2
VW_Avg(31),D7,Pasture,OnePerWeek,B2
VW_Avg(32),D23,Pasture,OnePerWeek,B2
VW_2_Avg(1),D7,Pasture,OnePerWeek,B3
VW_2_Avg(2),D23,Pasture,OnePerWeek,B3
VW_2_Avg(3),D7,Lucerne,ThreeWeekly,B3
VW_2_Avg(4),D23,Lucerne,ThreeWeekly,B3
VW_2_Avg(5),D7,Lucerne,TwoPerWeek,B3
VW_2_Avg(6),D23,Lucerne,TwoPerWeek,B3
VW_2_Avg(7),D7,Lucerne,None,B3
VW_2_Avg(8),D23,Lucerne,None,B3
VW_2_Avg(9),D7,Pasture,TwoPerWeek,B3
VW_2_Avg(10),D23,Pasture,TwoPerWeek,B3
VW_2_Avg(11),D7,Lucerne,OnePerWeek,B3
VW_2_Avg(12),D23,Lucerne,OnePerWeek,B3
VW_2_Avg(13),D7,Pasture,ThreeWeekly,B3
VW_2_Avg(14),D23,Pasture,ThreeWeekly,B3
VW_2_Avg(15),D7,Pasture,None,B3
VW_2_Avg(16),D23,Pasture,None,B3
VW_2_Avg(17),D7,Pasture,TwoPerWeek,B4
VW_2_Avg(18),D23,Pasture,TwoPerWeek,B4
VW_2_Avg(19),D7,Lucerne,TwoPerWeek,B4
VW_2_Avg(20),D23,Lucerne,TwoPerWeek,B4
VW_2_Avg(21),D7,Lucerne,ThreeWeekly,B4
VW_2_Avg(22),D23,Lucerne,ThreeWeekly,B4
VW_2_Avg(23),D7,Lucerne,OnePerWeek,B4
VW_2_Avg(24),D23,Lucerne,OnePerWeek,B4
VW_2_Avg(25),D7,Pasture,OnePerWeek,B4
VW_2_Avg(26),D23,Pasture,OnePerWeek,B4
VW_2_Avg(27),D7,Lucerne,None,B4
VW_2_Avg(28),D23,Lucerne,None,B4
VW_2_Avg(29),D7,Pasture,None,B4
VW_2_Avg(30),D23,Pasture,None,B4
VW_2_Avg(31),D7,Pasture,ThreeWeekly,B4
VW_2_Avg(32),D23,Pasture,ThreeWeekly,B4
